annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes,status_rank
DNA methylase,DNA methylase,4,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
superoxide dismutase precursor,superoxide dismutase precursor,4,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
cold shock protein,cold shock protein,4,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
tetrahydrofolate dehydrogenase and cyclohydrolase,tetrahydrofolate dehydrogenase and cyclohydrolase,4,0.0002,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
cytolethal distending toxin B subunit,cytolethal distending toxin B subunit,4,0.0002,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
T3SS effector protein EspN,T3SS effector protein EspN,3,0.0001,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
universal stress protein,universal stress protein,3,0.0001,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
tRNA synthetase,tRNA synthetase,3,0.0001,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
restriction enzyme III,restriction enzyme III,2,0.0001,defer,Genome_maintenance_propagation,DNA_recombination,,mechanistically specific but no stable dedicated L3 in current ontology,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,hold as defer until a dedicated node is justified,,,restriction enzyme itself is not anti-restriction; no confident v1.1 L3 leaf,2
spore coat protein,spore coat protein,2,0.0001,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
zinc containing alcohol dehydrogenase superfamily,zinc containing alcohol dehydrogenase superfamily,2,0.0001,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
photosystem I psaA/psaB protein,photosystem I psaA/psaB protein,2,0.0001,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
translational regulator,translational regulator,2,0.0001,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
polarity suppression Psu-like by overcoming Rho,polarity suppression Psu-like by overcoming Rho,2,0.0001,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
dimethyl sulfoxide reductase DmsA,dimethyl sulfoxide reductase DmsA,2,0.0001,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
DNA circularization,DNA circularization,2,0.0001,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
activator of host PrrC lysyl-tRNA endonuclease,activator of host PrrC lysyl-tRNA endonuclease,2,0.0001,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
cation efflux protein,cation efflux protein,1,0.0,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
enterotoxin CtxB,enterotoxin CtxB,1,0.0,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
Bxa ADP-ribosyl transferase,Bxa ADP-ribosyl transferase,1,0.0,defer,Auxiliary_metabolic_support,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,no stable v1.1 mapping rule matched; manual review still needed,2
enterotoxin CtxA,enterotoxin CtxA,1,0.0,defer,,,,currently insufficient evidence or unstable boundary for L3 assignment,medium,no,structure_support; neighborhood_support; embedding_cluster,,,,,manual review after first model round,,,weakly resolved mobile / host-associated term; no stable v1.1 node,2
tRNA splicing ligase RtcB,tRNA splicing ligase RtcB,1,0.0,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.,1
membrane associated protein,membrane associated protein,585,0.023,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,yes,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set,3
Bor-like outer membrane protein,Bor-like outer membrane protein,127,0.005,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set,3
membrane protein,membrane protein,9285,0.3651,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set,3
Lom outer membrane protein,Lom outer membrane protein,235,0.0092,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set,3
TreN-like membrane protein,TreN-like membrane protein,277,0.0109,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set,3
periplasmic protein,periplasmic protein,501,0.0197,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,medium,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set,3
transmembrane protein,transmembrane protein,22,0.0009,open_set,,,,unknown / weakly-resolved / no stable mapping to current ontology,low,no,family_consistency; recurrent_unknown_cluster,,,,,keep as open-set and monitor for clustering / recurrent family signal,,,weak membrane/secreted annotation; left as open-set,3
