annotation_raw,annotation_normalized,protein_count,percent,current_status,candidate_level1,candidate_level2,candidate_level3,reason_not_assigned,review_priority,needs_multimodal_evidence,promotion_evidence,family_consistency,embedding_cluster_id,structure_support,neighborhood_support,suggested_next_action,reviewer,review_date,notes
restriction endonuclease,restriction endonuclease,75,0.0029,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
intron-like DNA endonuclease,intron-like DNA endonuclease,75,0.0029,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
O-acetyltransferase,O-acetyltransferase,74,0.0029,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
thymidylate synthase complementing protein,thymidylate synthase complementing protein,71,0.0028,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
"3'-phosphatase, 5'-polynucleotide kinase","3'-phosphatase, 5'-polynucleotide kinase",68,0.0027,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
"beta-1,4-glycosyltransferase","beta-1,4-glycosyltransferase",68,0.0027,parent_only,Genome_maintenance_propagation,DNA_modification,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
sigma factor for late transcription,sigma factor for late transcription,67,0.0026,parent_only,Gene_expression_reprogramming,Transcription_factor,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Broad transcription-control term; kept as parent-only scaffold. Consider subtype_hint = generic_tf / antitermination / sigma_reprogramming during training analysis.
head decoration protein,head decoration protein,63,0.0025,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
tail protein XkdN-like,tail protein XkdN-like,63,0.0025,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
RecJ-like ssDNA exonuclease,RecJ-like ssDNA exonuclease,60,0.0024,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
exonuclease V,exonuclease V,52,0.002,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
mazG nucleotide pyrophosphohydrolase,mazG nucleotide pyrophosphohydrolase,52,0.002,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
dual specificity phosphatase,dual specificity phosphatase,46,0.0018,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
homing endonuclease with LAGLIDADG motif,homing endonuclease with LAGLIDADG motif,40,0.0016,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
exonuclease VII,exonuclease VII,34,0.0013,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
NrdC-like thioredoxin,NrdC-like thioredoxin,31,0.0012,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase,31,0.0012,parent_only,Auxiliary_metabolic_support,Nucleotide_metabolism,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
3'-5' exonuclease,3'-5' exonuclease,30,0.0012,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
tail protein and host specificity,tail protein and host specificity,25,0.001,parent_only,Virion_morphogenesis,Tail,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,yes,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
PmgS-like head morphogenesis,PmgS-like head morphogenesis,22,0.0009,parent_only,Virion_morphogenesis,Capsid,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
restriction endonuclease II,restriction endonuclease II,22,0.0009,parent_only,Genome_maintenance_propagation,DNA_recombination,,broad or scaffold-level category; currently retained at L2/coarse level only,medium,no,frequency; embedding_cluster; family_consistency,,,,,consider promotion only if subtype clusters or stable source-term families emerge,,,Ontology scaffold / coarse supervision node; not a primary fine-grained training label in v1.1.
